"X1","specimen_number","taxon name","collector","coll_number_prefix","coll_number","coll_number_suffix","collection_date","late_collection_date","verbatim_date","county","elevation","locality","latitude","longitude","datum","source","error_distance","units","citation","doy","new_error_distance"
72,"HSC48300","Nemophila menziesii","J. O. Sawyer",NA,3345,NA,"3/31/1979","3/31/1979",1979-03-31,"Mendocino",NA,"""MacKericker State Park, N of Fort Bragg""",39.44548,-123.802055,"NAD27","Terrain Navigator (inferred) (copied from UC1136556)",1.108,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",90,1.78314872
73,"HSC51156","Nemophila menziesii","""G. L. Clifton, Overton""",NA,3975,NA,"6/4/1979","6/4/1979",1979-06-04,"Trinity","853 m","""Near Van Duzen River, close to the town of Alderpoint.""",40.334111,-123.385722,NA,NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",155,NA
74,"HSC65237","Nemophila menziesii","J. P. Smith",NA,5881,NA,"3/20/1973","3/20/1973",1973-03-20,"San Luis Obispo","61 m","""Price Canyon Rd., 3.5 mi. from Pismo Beach""",35.184404,-120.619147,"WGS84","GeoLocate (copied from HSC38644)",823,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",79,0.823
75,"HSC66012","Nemophila menziesii","""Cathie Goldberg, Lauren Philbrick, Lynn Kunstman, Geoff Walsh""",NA,3,NA,"4/19/1980","4/19/1980",1980-04-19,"Lake",NA,"""Coldsprings Campground, along access road to Indian Valley Dam.""",39.1,-122.495556,"NAD83","Coordinates added by herbarium (copied from CHSC32943)",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",110,0.80467
76,"HSC71063","Nemophila menziesii","""Thomas W. Nelson, Jane P. Nelson""",NA,3397,NA,"5/30/1977","5/30/1977",1977-05-30,"Humboldt","854 m","McKeown Ranch; along road to Anderson's Ford",40.5156,-123.6171,"WGS84","""Baldwin et al. (2017), Master spatial file""",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",150,1
77,"HSC73815","Nemophila menziesii","Gail Newton",NA,123,NA,"6/7/1980","6/7/1980",1980-06-07,"Humboldt","1128 m","Near Brush Mtn.",40.912222,-123.666667,NA,NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",159,NA
78,"HSC97903","Nemophila menziesii","""J. Carey, A. Hong, J. Leffingwell""",NA,1,NA,"3/11/1995","3/11/1995",1995-03-11,"Trinity",NA,"""12 mi. S on S Fork Rd from its intersection with Hwy. 299, 1.5 mi. on S Fork Trail 6E23""",40.76891,-123.55083,"WGS84","GoogleMaps via BerkeleyMapper (copied from HSC96786)",85,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",70,0.085
79,"IRVC26484","Nemophila menziesii","""A. C. Sanders, Mark Elvin""",NA,25889,NA,"4/5/2003","4/5/2003",2003-04-05,"San Bernardino","1250 m","""UC Burns Pinyon Ridge Reserve, off Skyline Ranch Rd. ca. 2 miles (air) ESE of Pinoneertown, 1.5 mi. (air) NW of Yucca Valley, between front gate and reserve headquarters at old Burns home. Little San Bernardino Mountains""",34.149167,-116.455833,"WGS84","""Baldwin et al. (2017), Master spatial file""",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",95,1
80,"IRVC27167","Nemophila menziesii","Mark A. Elvin",NA,4016,NA,"2/13/2005","2/13/2005",2005-02-13,"San Bernardino","1250 m","""Ca. 1.5 miles E of Pioneertown, UC Burns Pinyon Ridge Reserve; middle part of the Reserve on ridge between """"Boo"""" and """"Jean"""" canyons (tribs. to N Railroad Canyon). Little San Bernardino Mountains, Southern Mojave Desert""",34.14472,-116.45222,"WGS84","CalTopo (copied from IRVC29368)",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",44,1
81,"JEPS104716","Nemophila menziesii","J. L. and F. L. Morrison",NA,2771,NA,"3/6/1938","3/6/1938",1938-03-06,"San Joaquin","350 m","""steep slope NE of Castle Rock, Corral Hollow, Mount Hamilton Range""",37.637153,-121.489879,"WGS84","GeoLocate",2.495,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",65,2.495
82,"JEPS110841","Nemophila menziesii","Jake Ruygt",NA,156,NA,"3/14/1977","3/14/1977",1977-03-14,"Napa","121 m",".2 mile north of Silverado Trail on Soda Canyon Rd.",38.3801,-122.2904,"not recorded","trs2ll",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",73,0.80467
83,"JEPS1478","Nemophila menziesii","W. L. Jepson",NA,19125,NA,"4/17/1939","4/17/1939",1939-04-17,"Riverside",NA,"Corona",33.855598,-117.570198,"WGS84","GoogleMaps via BerkeleyMapper (copied from UC50166)",8,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",107,8
84,"JEPS1481","Nemophila menziesii","W. L. Jepson",NA,17153,NA,"4/21/1935","4/21/1935",1935-04-21,"San Diego","838 m","Oak Grove Valley Oak Grove Valley (e San Diego Co.)",33.39359,-116.78796,"WGS84","TOPO! (copied from JEPS14062)",805,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",111,0.805
85,"JEPS1483","Nemophila menziesii","Virginia Bailey",NA,NA,NA,"4/16/1938","4/16/1938",1938-04-16,"Tehama",NA,"on Paskenta-Covelo Road 6 mi w Paskenta; w of Paskenta",39.84641,-122.62066,"not recorded","Terrain Navigator (inferred)",1.508,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",106,2.42688472
86,"JEPS1484","Nemophila menziesii","Ruth Johnson",NA,NA,NA,"4/6/1915","4/6/1915",1915-04-06,"Colusa",NA,"College City",39.006634,-122.00778,"not recorded","Terrain Navigator 5.03 1:24000",0.636,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",96,1.02354024
87,"JEPS1487","Nemophila menziesii","Virginia Bailey",NA,NA,NA,"3/19/1939","3/19/1939",1939-03-19,"Marin",NA,"""w side Mt. Tamalpais , Cataract Canyon (Cataract Canyon)""",37.920685,-122.62479,"not recorded","Terrain Navigator 5.03 USGS 1:24000",1.008,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",78,1.62221472
88,"JEPS1488","Nemophila menziesii","L. Constance",NA,2199,NA,"5/7/1938","5/7/1938",1938-05-07,"Madera","762 m","""11 mi sw Coarse Gold (3 mi sw of Kelshaw Corners, Sierra Nevada foothills); Sierra Nevada foothills, sw of Coarse Gold, sw Kelshaw Corne""",37.121006,-119.77128,"not recorded","Terrain Navigator 5.03 USGS 1:24000",1.762,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",127,2.83565708
89,"JEPS1489","Nemophila menziesii","""L. Constance, J. L. Morrison""",NA,2180,NA,"5/1/1938","5/1/1938",1938-05-01,"Tehama","304 m","""low hills at Paskenta , Paskenta (Inner North Coast Ranges)""",39.8468,-122.5944,"not recorded","GoogleMaps via BerkeleyMapper",1350,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",121,1.35
90,"JEPS1492","Nemophila menziesii","Allison Krames",NA,NA,NA,"2/10/1935","2/10/1935",1935-02-10,"Kern",NA,"""12 mi ne Bakersfield (low hills s Kern River, Cottonwood Creek, Greenhorn foothills); Greenhorn foothills, s of Kern River, Cottonwood Creek""",35.388786,-118.793434,"not recorded","Terrain Navigator",2.508,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",41,4.03622472
91,"JEPS1493","Nemophila menziesii","""L. Constance, J. L. Morrison""",NA,2263,NA,"5/25/1938","5/25/1938",1938-05-25,"San Benito","914 m","""1 mi s Idria; Inner South Coast Ranges, San Carlos Range""",36.403248,-120.672295,"not recorded","Terrain Navigator 5.03 1:24000",1.861,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",145,2.99498174
92,"JEPS1495","Nemophila menziesii","Marjorie D. Clary",NA,2671,NA,"5/7/1933","5/7/1933",1933-05-07,"Riverside",NA,"""about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy""",33.5691,-116.5055,"not recorded","GoogleMaps via BerkeleyMapper",1.5,"kilometers","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",127,1.5
93,"JEPS1497","Nemophila menziesii","John Thomas Howell",NA,3329,NA,"2/9/1928","2/9/1928",1928-02-09,"Los Angeles",NA,"""Santa Anita Canyon , Santa Anita Canyon (San Gabriel Mts.)""",34.3,-117.91667,"WGS84","""Baldwin et al. (2017), Master spatial file""",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",40,1
94,"JEPS1498","Nemophila menziesii","Eleanor Armstrong",NA,673,NA,"4/1/1933","4/1/1933",1933-04-01,"Santa Clara","106 m","Robertsville",37.26333,-121.87528,"not recorded","Biogeomancer",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",91,NA
95,"JEPS1793","Nemophila menziesii","L. M. Newlon",NA,467,NA,"4/7/1922","4/7/1922",1922-04-07,"San Bernardino",NA,"""3 mi sw Hesperia (Mohave Desert); , sw of Hesperia""",34.37064,-117.31236,"WGS84","GoogleMaps via BerkeleyMapper",2.683,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,2.683
96,"JEPS1794","Nemophila menziesii","W. L. Jepson",NA,8747,NA,"4/23/1920","4/23/1920",1920-04-23,"San Diego",NA,"head of Grapevine Canyon",33.1758,-116.5233,"NAD83","""Baldwin et al. (2017), Master spatial file (copied from JEPS38435)""",NA,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",114,NA
97,"JEPS1796","Nemophila menziesii","W. L. Jepson",NA,15134,"a","3/28/1929","3/28/1929",1929-03-28,"Fresno","198 m","Little Dry Creek near Sparkville; Little Dry Creek near Sparkville",36.968315,-119.61253,"not recorded","Terrain Navigator v.5.03 1:25000",0.508,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",87,0.81754472
98,"JEPS1803","Nemophila menziesii","W. L. Jepson",NA,20440,NA,"4/29/1941","4/29/1941",1941-04-29,"San Bernardino","1371 m","""Willow Springs Canyon Mohave Desert, Old Dad Mountains, Willow Springs Canyon (Old Dad Mountains, Mohave Desert)""",34.77,-115.683,"not recorded","GoogleMaps via BerkeleyMapper (copied fr",393,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",119,0.393
99,"JEPS1884","Nemophila menziesii","H. E. Parks and Joseph P. Tracy",NA,12025,NA,"4/22/1933","4/22/1933",1933-04-22,"Del Norte","152 m","Coast Bluffs 5 mi s Crescent City; Coast Bluffs 5 mi s of Crescent City",41.749508,-124.194595,"not recorded","""Terrain Navigator, inferred""",1.008,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",112,1.62221472
100,"JEPS1912","Nemophila menziesii","W. L. Jepson",NA,2792,NA,"5/23/1907","5/23/1907",1907-05-23,"Tulare",NA,"Limekiln Creek",36.704,-118.957,"not recorded","Terrain Navigator",2,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",143,3.21868
101,"JEPS1913","Nemophila menziesii","Mrs. Harriet P. Kelley",NA,NA,NA,"3/23/1919","3/23/1919",1919-03-23,"Unknown",NA,NA,36.570831,-119.611107,"WGS84","Biogeomancer (copied from JEPS5866)",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",82,1
102,"JEPS1916","Nemophila menziesii","W. L. Jepson",NA,15094,NA,"1891-03-22","1891-03-22",1891-03-22,"San Francisco",NA,"Lake Merced",37.7198,-122.49132,"not recorded","""Terrain Navigator 1:24,0000""",1.526,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",81,2.45585284
103,"JEPS21153","Nemophila menziesii","N. French",NA,757,NA,"3/20/1936","3/20/1936",1936-03-20,"Santa Barbara","762 m","""two and one half mi sw Spanish Ranch; McKittrick Quad., Santa Barbara Natl For, sw Spanish Ranch""",35.0238,-120.0327,"not recorded","trs2LL",3,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",80,4.82802
104,"JEPS21154","Nemophila menziesii","A. Lewis",NA,57,NA,"3/26/1932","3/26/1932",1932-03-26,"San Luis Obispo","243 m","""2 mi e San Miguel; San Miguel Quad., e of San Miguel""",35.7554,-120.6662,"not recorded","trs2LL",3,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",86,4.82802
105,"JEPS21155","Nemophila menziesii","G. T. Nordstrom",NA,762,NA,"4/27/1936","4/27/1936",1936-04-27,"Amador",NA,"""1/2 mi sw Sugar Loaf (sw of Plymouth); Jackson Quad., sw of Sugar, sw of Plymouth""",38.4456,-120.8816,"not recorded","trs2LL",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",118,0.80467
106,"JEPS25353","Nemophila menziesii","Rimo Bacigalupi with Paul C. Hutchinson and John Weiler",NA,6963,NA,"3/19/1959","3/19/1959",1959-03-19,"Contra Costa","60 m","""2.4 mi w Byron (s-facing low hill along Camino Diablo, 0.3 mi e of junction with Vasco Road); along Camino Diablo, w of Byron""",37.86474,-121.679,"not recorded","""Terrain Navigator Pro 1:24,000""",0.529,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",78,0.85134086
107,"JEPS29295","Nemophila menziesii","Rimo Bacigalupi and L. Heckard",NA,8390,NA,"3/25/1962","3/25/1962",1962-03-25,"Riverside","304 m","""about 5 mi se Corona (on both sides of Temescal Wash from Santa Ana Canyon to Elsinore, just n of Bedford Canyon, eastern base of the Santa Ana Mountains); eastern base Santa Ana Mountains, n of Bedford Canyon""",33.8155,-117.5448,"not recorded","GoogleMaps via BerkeleyMapper",2.3,"kilometers","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",84,2.3
108,"JEPS30298","Nemophila menziesii","Thomas D. Mulhern Jr.",NA,NA,NA,"4/8/1961","4/8/1961",1961-04-08,"Fresno",NA,"""Kerckhoff Lake Bridge 1.5 mi s toward Auberry (and 0.6 mi e on fire road); Kerckhoff Lake Bridge, toward Auberry""",37.130318,-119.49819,"not recorded","Terrain Navigator v.5.03 1:25000",1.108,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",98,1.78314872
109,"JEPS3116","Nemophila menziesii","Mrs. Mary Van E. Ferguson",NA,NA,NA,"4/13/1919","4/13/1919",1919-04-13,"Napa",NA,"near Atlas; near Atlas",38.4504,-122.2624,"WGS84","""Baldwin et al. (2017), Master spatial file""",2.775,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",103,2.775
110,"JEPS3117","Nemophila menziesii","A. L. Grant",NA,2,NA,"5/14/1915","5/14/1915",1915-05-14,"Tuolumne","1005 m","""near Italian Bar (French Camp, South Fork Stanislaus River); South Fork Stanislaus River, near Italian Bar""",38.07775,-120.367325,"not recorded","""Terrain Navigator 1:24,000""",0.108,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",134,0.17380872
111,"JEPS3118","Nemophila menziesii","Willis L. Jepson",NA,15093,NA,"1892-04-16","1892-04-16",1892-04-16,"Nevada",NA,"Penn Valley",39.20333,-121.18417,"not recorded","Biogeomancer",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",107,NA
112,"JEPS3128","Nemophila menziesii","W. L. Jepson",NA,8530,NA,"4/14/1920","4/14/1920",1920-04-14,"San Diego",NA,"Warner Ranch",33.24254,-116.6653,"WGS84","(copied from SD58282)",1.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",105,2.41401
113,"JEPS3129","Nemophila menziesii","W. L. Jepson",NA,6859,"a","3/31/1917","3/31/1917",1917-03-31,"Marin",NA,"Mill Valley",37.90611,-122.54389,"not recorded","""Terrain Navigator 1:24,000""",1.349,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",90,2.17099966
114,"JEPS3130","Nemophila menziesii","W. L. Jepson",NA,15088,NA,"1891-04-20","1891-04-20",1891-04-20,"Sutter",NA,"""Valley of the Butte Pass , Valley of the Butte Pass (Marysville Buttes)""",39.2251,-121.81401,"not recorded","""Terrain Navigator 5.03 USGS 1:24,000""",2.509,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",110,4.03783406
115,"JEPS3131","Nemophila menziesii","Mary L. Bowerman",NA,557,NA,"3/8/1931","3/8/1931",1931-03-08,"Contra Costa","304 m","""w bank Mitchell Canyon, Mount Diablo Mount Diablo, Mitchell Canyon""",37.900337,-121.9519,"not recorded","""Terrain Navigator Pro 1:24,000""",1.385,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",67,2.2289359
116,"JEPS3134","Nemophila menziesii","Walter Fry",NA,391,NA,"3/28/1915","3/28/1915",1915-03-28,"Tulare","396 m","""Shepherd Cove , Shepherd Cove (Sequoia National Park)""",36.47714,-118.85665,"not recorded","""Terrain Navigator 1:24,000""",0.418,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",87,0.67270412
