specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,references,source,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UC24248,3308895,1893-04-26,1893,4,26,116,,Flowering/Fruiting,Napa,"Yountville , Yountville (Napa River Basin)",,,38.394179,-122.363385,2202,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3308895,cch2,,,,,,,,,
UC24231,3308943,1899-06-01,1899,6,1,152,,Flowering/Fruiting,Monterey,Pajaro Hills,sandy loam,,36.89628,-121.720224,3034,CPA,Pajaro Hills could refer to the community Pajaro or Pajaro Hills Drive; error radius covers both,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3308943,cch2,,,,,,,,,
UC24203,3308950,1898-03-24,1898,3,24,83,,Flowering/Fruiting,Alameda,"below Little Grizzly (Wild Cat Canyon); South Coast Ranges, below Little Grizzly, Wild Cat Canyon",,,37.873047,-122.228878,1000,CPA,Update: Believe Little Grizzly refers to Grizzly peak. Set point and error halfway to Claremont Hills (DG). Could not find a Little Grizzly in Alameda,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3308950,cch2,,,,,,,,,
UC1239741,3319081,1938-05-01,1938,5,1,121,,Flowering/Fruiting,Humboldt,Trinity River Valley at Willow Creek; Trinity River Valley at Willow Creek,,152,40.943797000000004,-123.631572,1713,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3319081,cch2,,,,,,,,,
UC606956,3322212,1938-03-31,1938,3,31,90,,Flowering/Fruiting,Kern,"about 20 mi sw Bakersfields (near the Kern River, Ten Section Field); near the Kern River, sw of Bakersfield",infrequent under trees in sandy open fields,,35.284707,-119.218994,3746,CPA,10 Section Field near Kern River; closer to 10 mi sw,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3322212,cch2,,,,,,,,,
UC1031220,3329817,1954-04-08,1954,4,8,98,,Flowering/Fruiting,Napa,Highway 128 two mi s of e Monticello; s of e of Monticello,,,38.489598,-122.213033,4816,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3329817,cch2,,,,,,,,,
UC73660,3335295,1906-04-03,1906,4,3,93,,Flowering/Fruiting,Kern,w slope Mt. Hamilton w slope of Mt. Hamilton,,,37.346932,-121.647208,2500,CPA,"County should be Santa Clara: Label also indicates N slope, not W (DG). No Mt Hamilton found in Kern County",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3335295,cch2,,,,,,,,,
UC1239736,3343332,1935-05-26,1935,5,26,146,,Flowering/Fruiting,Humboldt,"Lone Star Creek , Lone Star Creek (Iaqua Region)",,609,40.629601,-123.876643,2012,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3343332,cch2,,,,,,,,,
UC660028,3346967,1925-02-26,1925,2,26,57,,Flowering/Fruiting,Monterey,near Monterey; near Monterey,hillside among scattered oak,,36.600238,-121.894676,11910,CPA,Broad,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3346967,cch2,,,,,,,,,
UC1057439,3354366,1937-03-26,1937,3,26,85,,Flowering/Fruiting,Sonoma,along the Guernville Highway near Village; near Village,in a grassy meadow along highway,,38.476598,-122.950448,5089,DG,Guerneville Highway indicates Hwy 116 b/w Guerneville and Forestville. Used midpoint of this hwy and set error to to town edges (DG).  Unable to locate Village,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3354366,cch2,,,,,,,,,
UC916528,3360303,1948-06-03,1948,6,3,155,,Flowering/Fruiting,Monterey,"n slope of Watertank Hill Hastings Reservation (Hastings Reservation, Jamesburg Quadrangle); Jamesburg Quadrangle, , Watertank Hill","shade of live oaks, n slope hill",,36.405676,-121.545925,3328,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3360303,cch2,,,,,,,,,
UC1561952,3368570,1987-04-10,1987,4,10,100,,Flowering/Fruiting,Monterey,ca 15 airmi se King City (crest of Pine Valley Rd ca 1 mi s of jct Hwy 198); se of King City,"steep n-facing slope covered w/cow trails, fine light silt w/mixed annuals & scattered Isomeria",,36.153223,-120.866103,713,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3368570,cch2,,,,,,,,,
UC24210,3381826,1861-04-09,1861,4,9,99,,Flowering/Fruiting,Santa Barbara,in valley below Foxin's Ranch below Foxin's Ranch,in valley below ranch,,34.808906,-120.256898,5065,DG,"Found township-range from historical record (Banjamin Foxen - Rancho Tinaquaic owner), got coordinates near a ""Foxen canyon road"" in SB. Placed point below road and set error halfway to Los Alamos . Unable to locate Foxin's Ranch",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3381826,cch2,,,,,,,,,
UC606957,3383101,1938-03-30,1938,3,30,89,,Flowering/Fruiting,Kern,7 mi above mouth Kern River Canyon (s side of Kern River Canyon),"grassy sunny slopes, under oak and pine, s side river canyon",,35.472827,-118.715194,2433,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3383101,cch2,,,,,,,,,
UC1239737,3404359,1938-06-13,1938,6,13,164,,Flowering/Fruiting,Humboldt,"at Cold Springs , at Cold Springs (Grouse Mountain)",,1432,40.83376,-123.713216,4523,WW,Cold Springs' not found; 'Cold Spring' was found 6 miles away from Grouse Mountain; uncertainty determined by halfway point between Cold Spring and Grouse Mountain,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3404359,cch2,,,,,,,,,
UC1228850,3416576,1962-03-24,1962,3,24,83,,Flowering/Fruiting,San Luis Obispo,on road to Shandon 6.8 mi e Templeton; e of Templeton,in orchard,304,35.55103,-120.594389,9964,WW,"Road to Shandon vague, measured along El Pomar Drive and uncertainty determined by about halfway along roads between Shandon and El Pomar Drive",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3416576,cch2,,,,,,,,,
UC718104,3432554,1937-03-30,1937,3,30,89,,Flowering/Fruiting,Placer,"on Penryn Road 3 4/10 mi e Lincoln; Sacramento Valley, e of Lincoln","Upper Sonoran Zone: --Quercus wislizeni; sun, open valley fields, moist DEC. Granite loam",76,38.848157,-121.168042,2772,"ME, WW",3.4 miles measured from bottom right edge of Lincoln city (?) boundaries,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3432554,cch2,,,,,,,,,
UC2027804,3434241,1997-04-20,1997,4,20,110,menziesii,Flowering/Fruiting,Contra Costa,"North base of Mount Diablo, trail to Back Creek from Mitchell Canyon trailhead.",Grassy opening in oak woodland on N-facing slope.,,37.913383,-121.930129,983,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3434241,cch2,,,,,,,,,
UC24222,3442887,1897-02-10,1897,2,10,41,,Flowering/Fruiting,Los Angeles,Claremont,shade,365,34.125954,-117.713598,5432,"ME, WW",vague,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3442887,cch2,,,,,,,,,
UC598440,3444251,1938-04-14,1938,4,14,104,,Flowering/Fruiting,San Bernardino,summit Cajon Pass,,1310,34.311773,-117.474764,828,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3444251,cch2,,,,,,,,,
UC606908,3449167,1938-04-10,1938,4,10,100,,Flowering/Fruiting,San Luis Obispo,"in ravine at n edge Paso Robles , n edge Paso Robles (Salinas River Valley)",grassy slope under Quercus agrifolia,198,35.65764,-120.64447,1991,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3449167,cch2,,,,,,,,,
UC1285314,3453200,1952-04-08,1952,4,8,99,,Flowering/Fruiting,San Luis Obispo,La Panza District,on open hillside in coarse sandy soil containing clay,,35.361082,-120.215428,4751,DG,"Updated locality from label. Historical Town confiemd by research. Used GEOLocate point, set error to highway",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3453200,cch2,,,,,,,,,
UC24206,3455074,1902-03-29,1902,3,29,88,,Flowering/Fruiting,Butte,Chico,,,39.768617,-121.800399,8800,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3455074,cch2,,,,,,,,,
UC310947,3455270,1925-03-18,1925,3,18,77,,Flowering/Fruiting,Kern,n Tehachapi; n of Tehachapi,grassy slope,1219,35.165874,-118.443138,5553,DG,Assuming collector is referring to the town. Set error halfway to Monolith,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3455270,cch2,,,,,,,,,
UC592135,3468970,1932-03-21,1932,3,21,81,,Flowering/Fruiting,Los Angeles,"20 mi n Saugus (Vasquez Rocks, Soledad Canyon); n of Saugus, Soledad Canyon, Vasquez Rocks",,,34.484802,-118.322069,730,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3468970,cch2,,,,,,,,,
UC146215,3478426,1903-05-16,1903,5,16,136,,Flowering/Fruiting,Napa,"near Calistoga (Napa Valley); Northern Coast Ranges, , near Calistoga",,91,38.578797,-122.579705,5195,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3478426,cch2,,,,,,,,,
UC606903,3481199,1938-03-27,1938,3,27,86,,Flowering/Fruiting,Napa,"5 mi e Napa (n slope in Howell Mountains, North Coast Ranges); North Coast Ranges, Howell Mountains, e of Napa",among grass and shrubs at edgeof old burn in Quercus agrifolia grove,457,38.2971,-122.193162,3945,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3481199,cch2,,,,,,,,,
UC1005677,3488486,1939-05-30,1939,5,30,150,,Flowering/Fruiting,Humboldt,"about 25 mi due e Eureka (near top Horse Mountain, near ski-hut); near top Horse Mountain, e of Eureka",in wet pasture near ski-hut; with Limnanthes douglasii and Delphinium menziesii,1100,40.874284,-123.732832,275,"ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3488486,cch2,,,,,,,,,
UC67144,3493555,1898-04-23,1898,4,23,113,,Flowering/Fruiting,Sonoma,Santa Rosa Creek Canyon,,,38.480736,-122.572107,4895,"CPA, ME, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3493555,cch2,,,,,,,,,
UC1501861,3502749,1951-03-10,1951,3,10,69,,Flowering/Fruiting,San Luis Obispo,"Wreden Ranch overlooking San Joaquin Valley, Wreden Ranch (San Joaquin Valley, junction of San Luis Obispo and Kern Counties)",,762,35.651792,-120.37765,9006,DG,Identified San Juan - Owned by Wreden - in present-day Shandon. Set error halfway to county line.,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3502749,cch2,,,,,,,,,
UC449911,3540993,1917-04-14,1917,4,14,104,,Flowering/Fruiting,Placer,Lincoln,meadows and fields,,38.887289,-121.290261,7194,"CPA, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3540993,cch2,,,,,,,,,
UC972194,3555602,1952-03-20,1952,3,20,80,,Flowering/Fruiting,Sonoma,Western outskirts of Sonoma 5th St. near Bettencourt; western outskirts of Sonoma,,,38.288082,-122.468835,1020,"CPA, WW",,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3555602,cch2,,,,,,,,,
UC1103814,3562039,1923-06-24,1923,6,24,175,,Flowering/Fruiting,Humboldt,"Murphy Ridge Bald Mt., Murphy Ridge (Balt Mt.)",,1066,40.882354,-123.865613,1807,"CPA, WW",can not find murphy ridge,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3562039,cch2,,,,,,,,,
